ResponseId,news,hs,surv,esc,pt,ent,algo_app,trust,polef,eo,pid,gender,age
R_dnjZQGNYfvycK8p,3,2,4,1,2,1,4,5,4,3,Democrat,Male,22
R_1cTfszZW3I6aZHl,3,5,6,3,2,5,0,5,4,1,Other,Male,32
R_2VIUEGgzaQ24w2m,4,4,4,3,4,4,2,4,2,2,Other,Male,48
R_3j9Eu0eDcLgzqxv,3,6,6,3,5,5,4,6,5,0,Other,Male,28
R_1FEDvSFF60CzLuV,5,5,5,5,5,6,1,5,5,2,Democrat,Male,38.7429718875502
R_3KBEDH8oGALSLPH,4,4,4,4,5,4,4,4,4,3,Democrat,Female,29
R_5q1hKptWqokXC3D,6,5,6,5,5,6,2,6,5,4,Republican,Female,69
R_3MhOyJ8JWGJ9T7L,7,6,6,6,6,7,4,7,7,2,Democrat,Male,38.7429718875502
R_8jZEfgotsKRDLUZ,3,5,6,4,5,4,2,4,5,1,Democrat,Male,30
R_2CNBaFku11nj9SM,6,6,6,6,5,6,3,6,5,0,Republican,Male,32
R_11jRi3v52fRqLvL,7,6,6,6,6,6,1,6,7,2,Democrat,Male,38.7429718875502
R_BPms86ltHMHAW6R,5,4,5,4,3,5,0,5,3,4,Other,Female,27
R_2aWyRyfyh2N3Odf,2,2,4,2,4,3,4,3,3,-1,Republican,Female,37
R_1I5BjLALWfFpnIG,3,6,7,4,4,6,0,6,6,1,Republican,Male,60
R_dgqCvzlewxCsLGp,5,3,4,3,3,4,2,4,4,0,Democrat,Male,33
R_33j4dcHyGjxXumI,3,5,4,4,5,4,3,4,5,4,Republican,Male,64
R_2AKep1qb3IpUshF,4,4,4,4,4,4,2,4,4,0,Democrat,Male,39
R_24wIruihU4N88d8,6,5,6,5,5,4,1,6,6,2,Democrat,Female,27
R_3FVT2IqmQp888DW,5,2,4,2,1,1,1,5,5,0,Democrat,Male,39
R_2XglcxFtSDb3s4U,3,6,5,3,3,4,4,4,4,3,Democrat,Male,32
R_2D60lfKTuyBqdeJ,4,6,5,2,2,4,4,4,4,1,Republican,Female,53
R_2f72aH78N0eTqya,5,6,6,4,4,4,1,5,5,4,Democrat,Male,34
R_3p5WpuJQNhCia6L,5,6,5,5,6,4,3,5,5,4,Democrat,Male,40
R_00wzIE7fUqqfc3f,5,3,4,2,1,1,4,4,4,4,Democrat,Female,33
R_23f53iUf5w2DmSH,5,5,5,6,5,6,2,6,6,4,Republican,Male,37
R_2wRyUnYhTCdtJyF,5,6,5,6,6,6,2,6,6,5,Other,Male,25
R_2wGmwZQWw73RL5x,3,4,5,4,5,4,1,4,5,1,Democrat,Female,28
R_3PGFzS2tDWge1DV,5,4,5,5,4,5,4,4,5,0,Republican,Female,31
R_2TmGbOPwVzNOzps,1,2,3,3,2,2,1,2,3,-2,Other,Female,49
