V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,SC1_0,SC1_1,SC1_2,Briefing,part,mediagebruik_1,mediagebruik_2,mediagebruik_3,mediagebruik_4,mediagebruik_5,mediagebruik_6,mediagebruik_7,mediagebruik_8,mediagebruik_9,ugt_1,ugt_2,ugt_3,ugt_4,ugt_5,ugt_6,ugt_7,ugt_8,ugt_9,ugt_10,ugt_11,ugt_12,ugt_13,ugt_14,ugt_15,ugt_16,ugt_17,ugt_18,ugt_19,ugt_20,ugt_21,ugt_22,ugt_23,ugt_24,ugt_28,ugt_29,ugt_30,nfm_1,nfm_2,nfm_3,nfm_4,nfm_5,nfm_6,corona1,corona2_1,corona2_2,corona2_3,corona2_4,corona2_5,corona2_6,corona2_7,corona2_8,corona2_9,corona2_10,corona2_11,corona2_12,corona2_13,corona3,corona4_1,corona4_2,corona4_3,corona4_4,Alg_app_intro1,alg_app_intro2,alg_app1_1,alg_app1_2,alg_app1_3,alg_app1_4,alg_app2_1,alg_app2_2,alg_app2_3,alg_app2_4,alg_app3_1,alg_app3_2,alg_app3_3,alg_app3_4,alg_app4_1,alg_app4_2,alg_app4_3,alg_app4_4,alg_app5_1,alg_app5_2,alg_app5_3,alg_app5_4,trust_media_1,trust_media_2,trust_media_3,trust_media_4,trust_media_5,trust_media_6,trust_media_7,trust_media_8,trust_media_9,pol_ken1_1,pol_ken1_2,pol_ken1_3,pol_ken1_4,pol_ken1_5,pol_ken1_6,pol_ken1_7,pol_ken1_8,pol_ken1_9,pol_ken1_10,pol_ken1_11,pol_ken1_12,pol_ken1_13,pol_ken1_14,pol_ken2,pol_ken3,pol_efficacy_1,pol_efficacy_2,pol_efficacy_5,pol_int,elect_part1,elect_part2,elect_part3,elect_part3_TEXT,DK_check,DK1,DK2,DK3,DK4,DK5,DK6,DK7,Overconfidence,Age,Gender,Education,Education_TEXT,Debriefing,LocationLatitude,LocationLongitude,LocationAccuracy
R_3PhNMSguMPtiegK,Default Response Set,Anonymous,,,86.91.214.164,0,2020-04-17T02:24:35Z,2020-04-17T02:25:00Z,1,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,NA,,NA,NA,,NA,52.200897216797,5.9685974121094,-1
R_2sbe88bt45xC4Iy,Default Response Set,Anonymous,,,31.21.47.92,0,2020-04-17T02:25:51Z,2020-04-17T02:26:45Z,1,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,NA,,NA,NA,,NA,53.137802124023,6.4237976074219,-1
R_2wRmUk9cauaaUiB,Default Response Set,Anonymous,,,85.150.133.237,0,2020-04-17T02:38:06Z,2020-04-17T02:41:22Z,1,0,0,0,2,0.66666666666667,0.28867513459481,1,1,0,0,0,0,1,1,1,1,1,3,3,3,3,4,4,4,4,4,3,3,2,2,2,2,2,2,1,2,1,3,3,3,3,2,2,2,7,7,7,7,6,6,Weet ik niet,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,Geen,1,2,1,2,1,1,3,1,2,4,3,1,2,4,3,1,2,4,1,4,2,3,1,3,2,4,3,3,3,3,2,4,2,4,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,5,4,80,,1,Ik,,Mij,Ggfgg,Ffgfg,Gfdgfdg,Dfgfdg,2,31,0,1,,1,52.359100341797,4.7929992675781,-1
R_2TADkTUhEm9dMCW,Default Response Set,Anonymous,,,81.204.107.237,0,2020-04-17T02:25:15Z,2020-04-17T02:42:01Z,1,3,0.6,0.22360679774998,6.5,0.8125,0.25877458475338,1,1,3,0,7,5,7,7,0,0,5,6,5,6,6,7,7,6,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,2,2,3,1,1,1,2,Covid19,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,"Brabant, plaats weet ik niet",2,1,2,2,1,1,2,3,4,1,2,3,4,1,1,2,3,4,1,2,3,4,1,2,3,4,5,4,5,4,4,3,5,5,4,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,6,3,4,4,5,5,88,,1,eerste plaats,8,Juni,"9,90",afhankelijk van de koers van de dollar,100 minuten,47,5,64,1,4,,1,50.865905761719,5.8271942138672,-1
R_1d49hzJeXaTgv6x,Default Response Set,Anonymous,,,217.120.186.100,0,2020-04-17T02:42:53Z,2020-04-17T02:50:33Z,1,0.5,0.5,0,4.5,0.9,0.22360679774998,1,1,1,7,7,7,7,7,2,0,7,1,7,7,7,7,4,7,7,5,1,7,1,4,7,7,7,3,1,1,1,1,7,7,7,7,1,7,7,4,4,5,4,3,Covid-19,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,Brabant,2,3,2,2,1,1,4,2,1,3,2,4,3,1,3,1,2,4,4,2,3,1,2,3,4,1,4,3,1,4,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,99,4,3,2,3,4,4,84,,1,Tweede,8,Emily,?,"0,05",?,?,5,18,0,3,,1,53.06640625,5.5260009765625,-1
R_2ttkgbNDxBNb2kZ,Default Response Set,Anonymous,,,84.82.173.34,0,2020-04-17T02:29:34Z,2020-04-17T02:52:34Z,1,2.5,0.625,0.25,3.5,0.7,0.27386127875258,1,1,3,7,7,0,0,0,3,0,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,4,4,6,Covid19,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,Weet niet,1,1,1,1,1,1,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,6,6,6,7,4,4,4,5,5,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,5,2,3,3,5,5,86,,1,2,8,Juni,30,0.10,20,96,7,58,0,2,,1,51.940307617188,4.4268035888672,-1
R_3oziIGh03kI61Wd,Default Response Set,Anonymous,,,77.248.187.15,0,2020-04-17T02:52:27Z,2020-04-17T02:57:39Z,1,1,1,0,5.5,0.91666666666667,0.20412414523193,1,1,6,5,5,3,4,4,4,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,6,6,5,5,5,5,5,5,5,5,4,5,5,3,4,4,3,6,4,4,Covid19,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,Rotterdam,2,1,2,2,1,1,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,4,5,6,6,6,6,5,5,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,4,4,3,3,3,85,,1,2e,7,Juni,180,10 cent,5,24,7,50,0,4,,1,51.878601074219,4.48779296875,-1
R_2AN2oHEvonAUwk9,Default Response Set,Anonymous,,,85.149.139.184,0,2020-04-17T02:53:55Z,2020-04-17T03:01:03Z,1,3.5,0.7,0.27386127875258,6.5,0.8125,0.25877458475338,1,1,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Covid 19,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Tilburg,2,1,2,2,1,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,6,6,6,7,6,7,7,7,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,7,7,7,5,5,5,86,,1,Eerste,8,Juni,2700,"0,10",100,24,6,55,0,1,,1,52.373504638672,4.6623992919922,-1
R_3EoQc7NOb8EuYU4,Default Response Set,Anonymous,,,89.205.132.78,0,2020-04-17T02:53:46Z,2020-04-17T03:03:59Z,1,3,0.6,0.22360679774998,8,0.8,0.25819888974716,1,1,1,5,4,3,5,3,2,1,5,4,3,3,4,5,3,4,3,3,5,4,5,3,3,4,2,4,2,2,3,2,2,3,2,5,4,5,4,3,3,2,5,4,Covid19,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Loon op zand,2,1,2,2,1,1,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,5,3,4,4,5,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,5,5,4,3,5,5,95,,1,Eerste,8,Emily,2.7,"0,10$",100,24,6,27,0,4,,1,52.125,5.4355926513672,-1
R_2RVRYZxryf0A9TI,Default Response Set,Anonymous,,,86.89.24.219,0,2020-04-17T02:55:56Z,2020-04-17T03:05:37Z,1,2,0.66666666666667,0.28867513459481,6,0.85714285714286,0.24397501823713,1,1,5,3,3,3,2,1,2,0,3,4,4,4,5,6,4,5,5,5,5,5,4,5,4,3,4,4,4,5,5,3,4,4,5,5,3,4,3,4,5,4,4,5,Covid-19,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Limburg,2,1,2,2,1,1,2,3,4,1,1,2,3,4,4,2,3,1,4,2,3,1,4,1,2,3,5,4,5,3,4,5,4,5,4,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,4,4,5,2,3,2,NA,,1,eerste plaats,7 schapen,juni,"2,7",0.05,5 min.,24,4,40,0,4,,1,52.009292602539,4.3446960449219,-1
R_9RcQI38p6poFCfv,Default Response Set,Anonymous,,,213.127.91.195,0,2020-04-17T02:47:32Z,2020-04-17T03:12:15Z,1,4,0.66666666666667,0.25819888974716,7.5,0.83333333333333,0.25,1,1,0,7,7,7,7,3,5,0,7,5,5,7,7,4,1,7,7,7,5,4,1,1,1,1,5,4,1,7,7,1,1,3,5,2,4,4,4,2,2,1,1,1,covid19,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,loon op zand,2,1,2,2,1,1,1,2,3,4,2,3,4,1,1,2,3,4,2,3,4,1,2,3,4,1,7,4,2,1,4,6,5,6,6,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,6,2,6,4,4,5,95,,1,2,8,juni,0.3,0.05,20,4,5,53,0,1,,1,52.354095458984,4.8975067138672,-1
R_2am2pCy8NPDcjxC,Default Response Set,Anonymous,,,82.161.147.129,0,2020-04-17T02:58:56Z,2020-04-17T03:13:39Z,1,1.5,0.75,0.35355339059327,5.5,0.78571428571429,0.26726124191242,1,1,0,4,0,4,5,0,6,0,5,2,4,4,2,3,4,4,3,3,2,4,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,4,2,2,4,3,2,covid- 9,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,brabant,2,1,2,2,1,1,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,4,6,6,5,3,3,3,3,3,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,0,1,5,4,3,3,3,5,86,,1,eerste,7,weet ik niet,30cm,10 cent,20,24,5,40,1,4,,1,51.908096313477,4.4561004638672,-1
R_3O2ZuF75bJmFm3a,Default Response Set,Anonymous,,,77.163.54.195,0,2020-04-17T03:13:33Z,2020-04-17T03:19:56Z,1,2,0.66666666666667,0.28867513459481,0.5,0.5,0,1,1,1,2,3,5,3,1,2,2,1,5,6,7,5,6,5,4,1,6,7,2,4,3,2,4,2,2,1,4,3,5,4,3,1,6,4,4,5,3,4,2,5,4,Kovid 19,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weet ik niet,1,3,3,3,1,1,3,2,1,4,1,3,2,4,1,2,4,3,1,2,4,3,1,3,4,2,5,2,4,6,4,3,2,1,7,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,0,3,5,4,3,4,3,84,,1,Jnfo,D,Hdvbd,180,"5,90",Bssp,34,3,33,0,3,,1,52.08740234375,5.1168060302734,-1
R_2rZ6G91qjSw6fdm,Default Response Set,Anonymous,,,213.93.170.88,0,2020-04-17T03:19:44Z,2020-04-17T03:25:43Z,1,0.5,0.5,0,6,0.85714285714286,0.24397501823713,1,1,4,6,6,5,4,4,4,5,5,4,5,5,6,6,4,4,5,5,5,6,4,3,4,4,2,6,6,4,4,5,5,4,4,5,5,5,5,5,4,4,5,5,Covid 19,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,tilburg,2,1,2,2,1,1,3,1,2,4,1,2,3,4,1,3,4,2,3,1,2,4,2,3,4,1,5,6,6,4,4,5,4,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,5,4,4,5,5,80,,1,marc rutte,7,juni,90,1,25,48,6,38,1,4,,1,53.204803466797,5.8054962158203,-1
R_3dQB1OXbNzvmysC,Default Response Set,Anonymous,,,77.164.81.37,0,2020-04-17T03:05:55Z,2020-04-17T03:26:18Z,1,0,0,0,2,0.5,0,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,idee,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,idee,3,3,3,3,1,1,4,1,2,3,1,2,3,4,1,3,2,4,1,2,4,3,1,3,4,2,5,5,5,5,4,5,5,5,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,99,99,4,4,4,2,4,3,85,,1,2,14,geen idee,900,geen idee,wat zijn die dingen?,24,2,29,1,4,,1,52.039703369141,4.3148040771484,-1
R_1IvbXIQZR9hf7De,Default Response Set,Anonymous,,,212.120.84.134,0,2020-04-17T03:33:31Z,2020-04-17T03:33:39Z,1,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,NA,,NA,NA,,NA,51.330001831055,6.0933990478516,-1
R_2UVLZMZHfGsFeNk,Default Response Set,Anonymous,,,217.101.159.243,0,2020-04-17T03:33:08Z,2020-04-17T03:49:08Z,1,3,0.6,0.22360679774998,6,0.75,0.26726124191242,1,1,1,2,1,3,0,5,5,6,5,2,2,3,2,5,3,6,6,6,5,5,4,1,4,1,2,4,1,1,1,1,3,3,2,3,1,2,2,2,2,1,1,4,Covid-19,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Wuhan,2,1,2,3,1,1,1,2,3,4,2,1,3,4,2,3,4,1,1,2,3,4,1,2,3,4,4,4,4,4,3,5,4,5,4,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,99,5,3,4,3,5,5,95,,1,Tweede,8,Emily,Geen idee,5 cent,5 min,47 dagen,6,20,0,3,,1,51.485305786133,4.2879028320312,-1
R_3j0vRi8W8oq71qZ,Default Response Set,Anonymous,,,213.127.117.228,0,2020-04-17T03:39:37Z,2020-04-17T03:52:49Z,1,1,0.5,0,6.5,0.8125,0.25877458475338,1,1,0,4,0,0,7,2,1,0,4,1,5,7,5,4,5,5,5,7,7,7,1,1,3,1,1,1,4,1,1,4,1,1,4,5,1,1,2,1,1,1,1,1,COVID-19,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,Maastricht,2,1,2,2,1,1,1,3,4,2,1,3,4,2,2,1,4,3,1,3,4,2,2,1,4,3,4,4,3,4,5,1,3,4,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,99,0,5,4,4,3,4,5,80,,1,Tweede,8,Emily,0.3 kubieke meter,Hangt van de koers van de dollar af,5 min,24 uur,5,20,0,1,,1,52.363998413086,4.8912963867188,-1
R_1H7yacu3nE59nhP,Default Response Set,Anonymous,,,83.83.201.49,0,2020-04-17T03:38:50Z,2020-04-17T03:54:41Z,1,2,0.5,0,6.5,0.8125,0.25877458475338,1,1,3,7,7,0,7,5,0,6,6,5,6,4,4,6,6,6,6,6,6,6,2,2,4,1,4,1,1,1,1,1,6,6,6,5,5,5,6,5,1,1,3,6,Covid-19,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Brabant,2,1,2,2,1,1,2,1,3,4,1,2,3,4,3,4,2,1,4,3,2,1,2,4,3,1,4,5,3,5,3,3,4,4,2,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,99,4,4,4,2,5,5,83,,1,Eerste,8,Emily,"0,3","0,10",5,24,6,51,1,3,,1,52.135192871094,5.2015991210938,-1
R_2xUUBm2XlzQmegu,Default Response Set,Anonymous,,,143.179.81.106,0,2020-04-17T03:49:17Z,2020-04-17T03:55:35Z,1,1,1,0,3.5,0.7,0.27386127875258,1,1,0,4,0,7,4,0,5,3,3,3,1,3,4,4,7,6,5,3,4,4,5,4,3,3,3,3,3,5,4,3,6,3,5,4,4,3,4,3,3,6,5,4,Milo Dieteren,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,Echt,2,1,3,3,1,1,4,3,2,1,2,3,4,1,2,4,3,1,3,2,4,1,4,2,3,1,3,5,5,3,5,4,4,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,4,5,2,3,3,3,88,,2,,,,,,,,NA,20,0,3,,1,51.448699951172,5.5157928466797,-1
R_2QfWIb5T2ZDZV20,Default Response Set,Anonymous,,,80.115.97.129,0,2020-04-17T03:47:38Z,2020-04-17T04:00:41Z,1,2.5,0.625,0.25,7,0.77777777777778,0.26352313834736,1,1,7,7,2,4,3,0,0,0,5,3,4,2,2,3,3,3,3,3,4,4,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,3,2,2,1,1,1,2,Covid 19,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Wuhan,2,1,2,2,1,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,5,6,3,5,3,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,4,3,4,3,5,5,85,,1,Eerste,8,Dat weet je niet,"0,27",10 cent,Vijf,47,5,50,1,4,,1,53.215698242188,6.2765960693359,-1
R_22t8pOkfcxB0DFT,Default Response Set,Anonymous,,,84.87.155.114,0,2020-04-17T04:05:22Z,2020-04-17T04:11:19Z,1,0,0,0,1,1,0,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Ja,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Ja,1,1,1,1,1,1,1,2,3,4,1,2,3,4,3,1,2,4,1,3,2,4,2,1,3,4,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,7,7,7,5,5,5,91,,1,Ja,Ja,Ja,Ja,Ja,Ja,Ja,7,Ja,1,5,,1,51.792205810547,4.6992950439453,-1
